response time,down,up
1600,30.553,21.318
1145,29.888,20.122
1245,13.918,24.452
2822,26.207,20.261
1255,27.825,23.257
1525,21.983,10.92
1614,29.19,22.358
1268,27.786,11.338
1795,27.887,22.166
1211,28.219,25.389
1519,28.246,20.291
1592,28.307,29.424
1124,28.01,23.455
1393,27.393,22.704
1212,27.853,26.591
1482,28.571,24.244
1193,27.806,15.161
2461,30.751,22.697
1113,29.193,25.186
1664,27.411,28.426
1182,28.988,23.725
1432,29.142,22.218
1216,30.026,18.424
1468,29.015,23.658
1181,29.959,24.962
1717,27.863,27.577
2459,26.474,22.78
1201,25.271,17.653
1750,28.879,20.025
1334,26.154,23.31
1633,29.336,21.239
1368,29.47,22.939
1604,25.38,12.186
1182,27.193,23.112
1482,28.646,22.843
1264,26.016,21.374
2535,27.391,20.975
1636,25.458,20.863
1542,27.202,21.384
1503,27.849,27.148
1523,29.314,27.221
1215,29.73,21.81
1515,28.989,23.207
1173,30.045,26.869
1428,29.55,20.43
1150,29.769,24.9
1468,29.975,23.815
1245,26.878,21.186
1168,25.026,25.855
1528,29.071,23.864
1536,29.33,22.943
1716,29.099,19.975
1104,29.086,21.381
1778,30.907,20.138
2147,28.258,23.293
1506,28.328,26.417
1254,28.715,23.334
1732,28.475,22.783
1548,26.786,24.495
1563,25.962,23.88
1237,23.243,17.505
1594,28.535,21.636
1224,27.409,22.956
1846,28.587,25.011
1579,28.057,26.261
3116,27.399,21.352
1179,27.893,20.903
1582,27.392,25.047
1233,28.531,24.744
1599,27.414,18.606
1269,27.936,23.79
1651,27.759,21.063
1186,30.801,20.333
1515,31.158,22.344
1085,27.155,24.935
1318,26.365,19.397
1525,27.666,16.26
1116,23.923,22.162
1527,27.857,18.625
1098,27.298,15.543
1472,26.479,22.878
1296,27.428,19.112
1705,24.56,21.904
2077,27.747,17.716
1526,28.723,27.639
1396,29.772,22.674
1583,27.987,22.169
1213,29.088,24.719
2412,27.533,24.045
1098,29.581,18.177
1837,27.784,26.584
1203,29.199,24.287
1471,25.953,24.134
1130,22.519,9.547
1528,29.124,18.922
1200,28.731,20.517
1548,28.345,24.043
1193,26.874,23.955
1529,29.156,26.04
1165,29.23,22.215
1623,27.753,27.355
1377,28.609,24.074
1913,29.424,22.219
3128,25.074,15.686
1573,27.826,24.919
1520,29.308,25.207
1210,31.104,24.977
1514,30.043,23.431
1161,28.629,27.852
1547,28.85,24.103
1152,29.126,24.949
1412,28.736,24.941
1155,30.307,24.767
1545,29.875,26.167
1275,29.224,23.711
1540,30.374,23.73
1227,29.212,25.876
1532,29.334,24.655
2497,28.529,21.733
1352,26.591,21.417
1480,28.858,24.209
1348,29.037,21.155
1667,27.788,16.769
1273,28.404,22.911
2315,26.601,25.697
1215,28.476,19.627
1629,28.781,22.365
1142,28.668,17.48
1744,29.349,23.162
2341,31.905,22.973
1578,29.59,23.609
1497,28.46,26.529
1175,28.566,24.28
1711,28.107,23.808
1481,30.405,22.96
1220,29.142,26.446
1115,28.964,27.129
1512,28.528,26.218
1187,30.113,24.302
1893,32.197,23.674
1096,28.988,26.438
1609,28.78,27.619
1188,29.718,23.15
1545,28.296,26.562
1301,26.399,21.71
1614,27.355,24.419
1222,28.376,25.264
1534,30.561,21.403
1218,28.613,24.945
3105,29.08,22.553
1526,29.774,23.023
1172,29.538,21.127
3416,29.555,18.525
1247,27.106,17.876
1471,31.048,22.324
1228,28.701,23.986
1517,28.753,27.456
1193,31.617,21.211
1508,29.632,22.839
1065,30.025,22.901
1523,27.477,20.466
1551,29.151,22.137
1230,29.508,22.084
1519,27.814,28.026
1288,28.636,22.246
1563,26.825,21.286
1255,27.984,24.772
1474,28.556,22.534
2837,28.242,23.865
1937,27.611,27.289
1335,26.73,21.523
1560,28.357,25.178
1240,26.668,14.917
1753,28.975,23.859
1206,29.277,24.39
1477,30.005,23.173
2556,23.004,22.069
1181,23.186,21.276
1454,26.219,19.229
1191,28.817,20.502
1566,27.845,23.028
1100,25.713,22.612
1577,26.584,15.443
1428,27.043,20.137
1236,27.804,17.716
1467,24.883,20.985
1213,27.669,26.374
1529,29.486,23.002
1779,24.684,19.337
1492,28.106,20.001
1223,27.813,21.398
1539,27.817,22.242
1191,26.032,26.302
2655,27.093,27.428
1261,27.914,15.402
1472,29.236,20.244
1121,26.837,18.476
1516,26.651,19.584
1237,29.112,21.144
1438,29.69,27.651
1234,29.982,25.797
1419,25.938,26.632
1656,28.537,22.138
1524,29.376,23.02
1201,29.497,23.102
1511,30.32,23.07
1210,29.303,22.712
1468,31.36,19.41
1204,29.452,25.924
1520,32.408,20.273
2124,31.099,21.402
1202,27.71,25.605
1521,27.879,22.837
1335,28.418,22.688
